2009-04-20 03:02:04 status half-installed sysv-rc 2.86.ds1-61ubuntu11
2009-04-20 03:02:04 status unpacked sysv-rc 2.86.ds1-61ubuntu11
2009-04-20 03:02:04 status unpacked sysv-rc 2.86.ds1-61ubuntu11
2009-04-20 03:02:04 install sysvinit-utils <none> 2.86.ds1-61ubuntu11
2009-04-20 03:02:04 status half-installed sysvinit-utils 2.86.ds1-61ubuntu11
2009-04-20 03:02:04 status unpacked sysvinit-utils 2.86.ds1-61ubuntu11
2009-04-20 03:02:04 status unpacked sysvinit-utils 2.86.ds1-61ubuntu11
2009-04-20 03:02:05 install tar <none> 1.20-1
2009-04-20 03:02:05 status half-installed tar 1.20-1
2009-04-20 03:02:05 status unpacked tar 1.20-1
2009-04-20 03:02:05 status unpacked tar 1.20-1
2009-04-20 03:02:05 install tzdata <none> 2009f-0ubuntu1
2009-04-20 03:02:05 status half-installed tzdata 2009f-0ubuntu1
2009-04-20 03:02:09 status unpacked tzdata 2009f-0ubuntu1
2009-04-20 03:02:10 status unpacked tzdata 2009f-0ubuntu1
2009-04-20 03:02:10 install upstart <none> 0.3.9-8
2009-04-20 03:02:10 status half-installed upstart 0.3.9-8
2009-04-20 03:02:10 status unpacked upstart 0.3.9-8
2009-04-20 03:02:10 status unpacked upstart 0.3.9-8
2009-04-20 03:02:10 install upstart-compat-sysv <none> 0.3.9-8
2009-04-20 03:02:10 status half-installed upstart-compat-sysv 0.3.9-8
2009-04-20 03:02:10 status unpacked upstart-compat-sysv 0.3.9-8
2009-04-20 03:02:10 status unpacked upstart-compat-sysv 0.3.9-8
2009-04-20 03:02:11 install upstart-logd <none> 0.3.9-8
2009-04-20 03:02:11 status half-installed upstart-logd 0.3.9-8
2009-04-20 03:02:11 status unpacked upstart-logd 0.3.9-8
2009-04-20 03:02:11 status unpacked upstart-logd 0.3.9-8
2009-04-20 03:02:11 install util-linux <none> 2.14.2-1ubuntu4
2009-04-20 03:02:11 status half-installed util-linux 2.14.2-1ubuntu4
2009-04-20 03:02:11 status unpacked util-linux 2.14.2-1ubuntu4
2009-04-20 03:02:11 status unpacked util-linux 2.14.2-1ubuntu4
2009-04-20 03:02:12 install zlib1g <none> 1:1.2.3.3.dfsg-12ubuntu2
2009-04-20 03:02:12 status half-installed zlib1g 1:1.2.3.3.dfsg-12ubuntu2
2009-04-20 03:02:12 status unpacked zlib1g 1:1.2.3.3.dfsg-12ubuntu2
2009-04-20 03:02:12 status unpacked zlib1g 1:1.2.3.3.dfsg-12ubuntu2
2009-04-20 03:02:45 startup packages configure
2009-04-20 03:02:45 configure sysv-rc 2.86.ds1-61ubuntu11 2.86.ds1-61ubuntu11
2009-04-20 03:02:45 status unpacked sysv-rc 2.86.ds1-61ubuntu11
2009-04-20 03:02:45 status half-configured sysv-rc 2.86.ds1-61ubuntu11
2009-04-20 03:02:45 status installed sysv-rc 2.86.ds1-61ubuntu11
2009-04-20 03:02:45 configure gcc-4.3-base 4.3.3-5ubuntu4 4.3.3-5ubuntu4
2009-04-20 03:02:45 status unpacked gcc-4.3-base 4.3.3-5ubuntu4
2009-04-20 03:02:45 status half-configured gcc-4.3-base 4.3.3-5ubuntu4
2009-04-20 03:02:45 status installed gcc-4.3-base 4.3.3-5ubuntu4
